城市,周五（6日）,周六（7日）,周日（8日）,周一（9日）,周二（10日）,周三（11日）,周四（12日）,周五（13日）
河南,33.8,23.5,15.8,21.5,34.3,30.4,21.1,30.6
北京,27.8,12.0,13.9,23.2,19.8,26.6,18.4,21.6
河北,14.1,12.4,19.1,21.8,12.0,14.0,29.1,31.0
辽宁,18.7,17.8,32.0,34.7,20.5,34.9,20.2,31.9
江西,10.1,29.7,22.7,31.3,11.8,31.3,18.4,10.2
上海,24.4,26.9,19.7,14.6,13.8,34.4,21.3,29.0
安徽,16.0,34.9,18.9,27.5,31.5,30.8,22.0,28.6
江苏,29.7,14.3,14.3,34.7,14.8,27.3,30.6,17.7
湖南,18.6,11.9,32.4,21.0,16.8,20.1,33.4,33.6
浙江,18.4,33.3,35.0,27.2,13.5,15.2,18.0,27.2
海南,32.0,24.8,26.0,16.5,21.9,16.4,10.8,17.3
广东,13.2,20.1,22.4,24.4,29.5,28.1,29.1,27.9
湖北,34.0,29.8,26.0,12.4,19.2,22.7,20.5,34.7
黑龙江,30.9,30.1,15.8,15.3,20.1,18.8,24.9,29.5
澳门,12.5,20.7,23.7,24.8,13.0,12.7,30.7,12.5
陕西,31.7,27.2,19.3,24.5,29.4,11.6,26.5,18.4
四川,34.7,21.4,17.7,12.4,23.2,26.3,31.1,17.1
内蒙古,31.2,30.8,29.7,14.6,12.4,30.0,20.8,27.2
重庆,18.8,15.0,25.0,16.6,10.9,19.9,24.4,11.7
云南,22.8,27.1,29.4,11.4,23.7,16.3,28.0,25.0
贵州,15.0,30.0,10.1,13.9,14.1,16.4,31.2,20.6
吉林,28.7,20.2,14.2,31.7,13.1,20.4,19.1,25.5
山西,25.1,15.4,22.5,13.3,22.9,24.4,21.8,19.9
山东,26.1,28.2,11.3,21.2,27.4,21.6,30.7,33.5
福建,18.1,33.1,30.4,29.4,19.1,33.4,17.3,29.1
青海,18.7,24.6,27.4,19.0,24.1,29.3,26.0,24.7
天津,33.3,32.3,22.9,32.4,17.4,14.3,25.8,29.2
