城市,周五（6日）,周六（7日）,周日（8日）,周一（9日）,周二（10日）,周三（11日）,周四（12日）,周五（13日）
河南,80,60,80,40,80,20,80,40
北京,80,60,20,60,40,60,60,60
河北,40,80,20,80,80,20,20,40
辽宁,20,60,20,40,80,60,60,40
江西,20,40,60,60,60,80,20,40
上海,20,40,80,20,40,80,20,80
安徽,80,80,40,40,40,40,40,80
江苏,60,40,60,20,80,20,80,60
湖南,40,20,40,80,60,60,80,80
浙江,80,80,60,40,60,60,40,60
海南,80,60,40,60,40,80,60,40
广东,60,60,20,20,20,80,80,80
湖北,60,40,20,20,40,20,40,80
黑龙江,40,40,40,20,40,80,20,60
澳门,80,80,20,20,20,80,80,80
陕西,80,80,40,80,40,80,60,80
四川,40,80,40,20,40,20,20,20
内蒙古,80,20,20,20,20,20,60,20
重庆,40,60,40,20,80,80,40,60
云南,20,80,60,60,40,20,20,40
贵州,40,60,80,40,60,20,60,20
吉林,20,80,40,60,20,20,60,20
山西,60,80,20,80,80,40,80,60
山东,80,80,20,60,80,60,40,20
福建,80,60,80,60,60,40,60,80
青海,60,80,80,60,60,80,20,60
天津,40,20,60,60,40,20,60,60
