城市,周四（12日）,周五（13日）,周六（14日）,周日（15日）,周一（16日）,周二（17日）,周三（18日）,周四（19日）
河南,0.86,0.23,0.53,0.82,0.55,0.59,0.38,0.27
北京,0.88,0.36,0.7,0.99,0.99,0.8,0.3,0.24
河北,0.72,0.76,0.81,0.25,0.01,0.47,0.21,0.52
辽宁,0.36,0.24,0.19,0.88,0.83,0.67,0.54,0.31
江西,0.37,0.18,0.77,0.78,0.06,0.42,0.16,0.84
上海,0.54,0.21,0.84,0.44,0.67,0.41,0.64,0.74
安徽,0.81,0.5,0.07,0.83,0.59,0.67,0.75,0.95
江苏,0.87,0.53,0.82,0.81,0.83,0.93,0.97,0.85
湖南,0.95,0.68,0.02,0.62,0.88,0.56,0.62,0.22
浙江,0.7,0.51,0.56,0.2,0.86,0.84,0.48,0.49
海南,0.73,0.92,0.01,0.65,0.22,0.64,0.2,0.57
广东,0.69,0.12,0.64,0.03,0.39,0.73,0.16,0.03
湖北,0.75,0.54,0.68,0.06,0.43,0.62,0.91,0.04
黑龙江,0.12,0.33,0.79,0.41,0.46,0.34,0.2,0.62
澳门,0.69,0.64,0.69,0.51,0.9,0.39,0.34,0.32
陕西,0.48,0.51,0.26,0.92,0.38,0.63,0.37,0.11
四川,0.4,0.1,0.22,0.2,0.39,0.73,0.81,0.13
内蒙古,0.18,0.07,0.05,0.17,0.14,0.2,0.08,0.51
重庆,0.03,0.18,0.55,0.32,0.91,0.91,0.12,0.55
云南,0.54,0.76,0.66,0.76,0.87,0.46,0.86,0.4
贵州,0.63,0.95,0.01,0.01,0.11,0.86,0.09,0.48
吉林,0.75,0.27,0.34,0.41,0.72,0.53,0.56,0.67
山西,0.11,0.8,0.58,0.55,0.84,0.11,0.97,0.93
山东,0.47,0.64,0.48,0.66,0.71,0.8,0.37,0.86
福建,0.68,0.93,0.36,0.68,0.2,0.07,0.73,0.59
青海,0.77,0.51,0.17,0.31,0.78,0.92,0.15,0.24
天津,0.36,0.35,0.3,0.01,0.9,0.99,0.73,0.46
